,result,documentation,terms_of_use,time_last_update_unix,time_last_update_utc,time_next_update_unix,time_next_update_utc,base_code,conversion_rates
AED,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,3.6725
AFN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,72.9154
ALL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,95.8096
AMD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,403.8789
ANG,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,1.79
AOA,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,843.6569
ARS,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,844.25
AUD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,1.5352999999999999
AWG,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,1.79
AZN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,1.7005
BAM,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,1.8021
BBD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,2.0
BDT,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,109.7264
BGN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,1.8021
BHD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,0.376
BIF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,2844.8603
BMD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,1.0
BND,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,1.3434
BOB,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,6.9136
BRL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,4.9513
BSD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,1.0
BTN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,82.9304
BWP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1709596801,"Tue, 05 Mar 2024 00:00:01 +0000",1709683201,"Wed, 06 Mar 2024 00:00:01 +0000",USD,13.7282
