,result,documentation,terms_of_use,time_last_update_unix,time_last_update_utc,time_next_update_unix,time_next_update_utc,base_code,conversion_rates
USD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,1.0
AED,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,3.6725
AFN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,71.498
ALL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,95.3382
AMD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,403.5669
ANG,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,1.79
AOA,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,839.0891
ARS,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,846.75
AUD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,1.5083
AWG,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,1.79
AZN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,1.7012
BAM,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,1.7883
BBD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,2.0
BDT,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,109.7533
BGN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,1.7884
BHD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,0.376
BIF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,2852.8622
BMD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,1.0
BND,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,1.3318
BOB,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,6.9294
BRL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,4.9454
BSD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,1.0
BTN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,82.7559
BWP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,13.6167
BYN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,3.2422
BZD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,2.0
CAD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,1.3472
CDF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,2734.7862
CHF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,0.8773000000000001
CLP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,981.9275
CNY,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,7.1965
COP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,3938.6755
CRC,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,512.8557
CUP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,24.0
CVE,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,100.8223
CZK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,23.1509
DJF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,177.721
DKK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,6.8199000000000005
DOP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,58.8185
DZD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,134.5177
EGP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,49.3911
ERN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,15.0
ETB,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,56.9338
EUR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,0.9144
FJD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,2.2267
FKP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,0.7786000000000001
FOK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1710028802,"Sun, 10 Mar 2024 00:00:02 +0000",1710115202,"Mon, 11 Mar 2024 00:00:02 +0000",USD,6.8199000000000005
